,@id,prefLabel,udunits
225,http://vocab.nerc.ac.uk/collection/P06/current/PRSC/,per second,s-1
226,http://vocab.nerc.ac.uk/collection/P06/current/UPML/,Picomoles per litre,pmol l-1
227,http://vocab.nerc.ac.uk/collection/P06/current/UNID/,Nanograms per day,ng day-1
228,http://vocab.nerc.ac.uk/collection/P06/current/UPMH/,Picomoles per litre per hour,pmol l-1 hour-1
229,http://vocab.nerc.ac.uk/collection/P06/current/UCGG/,Magnetic susceptibility cgs units per gram,magnetic susceptibility cgs amu(cd m-2) g-1
230,http://vocab.nerc.ac.uk/collection/P06/current/PAMS/,Pascal metres per second,Pa m s-1
231,http://vocab.nerc.ac.uk/collection/P06/current/UM2S/,Micromoles per square metre per second,umol m-2 s-1
232,http://vocab.nerc.ac.uk/collection/P06/current/AMPB/,Amperes,A
233,http://vocab.nerc.ac.uk/collection/P06/current/UFAA/,Watts per square metre,W m-2
234,http://vocab.nerc.ac.uk/collection/P06/current/UPHI/,phi units,phi amu(cd m-2)
235,http://vocab.nerc.ac.uk/collection/P06/current/PGPG/,Picograms per gram,pg g-1
236,http://vocab.nerc.ac.uk/collection/P06/current/UBLV/,Parts per billion by volume,parts billion-1 by volume
237,http://vocab.nerc.ac.uk/collection/P06/current/UFNU/,Formazin Nephelometric Units,formazin Nephelometric Units
238,http://vocab.nerc.ac.uk/collection/P06/current/PSTR/,per steradian,sr-1
239,http://vocab.nerc.ac.uk/collection/P06/current/UAMN/,Arc minutes,arc minute
240,http://vocab.nerc.ac.uk/collection/P06/current/MPGH/,Moles per gram per hour,mol g-1 hour-1
241,http://vocab.nerc.ac.uk/collection/P06/current/M2RD/,Square metre seconds per radian,m2 s radian-1
242,http://vocab.nerc.ac.uk/collection/P06/current/UPMA/,Picomoles per cubic metre,pmol m-3
243,http://vocab.nerc.ac.uk/collection/P06/current/UPCM/,per centimetre,cm-1
244,http://vocab.nerc.ac.uk/collection/P06/current/UNDX/,Number per square metre per day,number m-2 day-1
245,http://vocab.nerc.ac.uk/collection/P06/current/UNAH/,Number per individual per hour,number individual-1 hour-1
246,http://vocab.nerc.ac.uk/collection/P06/current/KSP3/,Kilograms per cubic metre per second,kg m-3 s-1
247,http://vocab.nerc.ac.uk/collection/P06/current/MPM3/,Millilitres per cubic metre,ml m-3
248,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,Millimetres,mm
249,http://vocab.nerc.ac.uk/collection/P06/current/ULKM/,Kilometres,km
250,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/,Metres per second squared,m s-2
251,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,Number per cubic metre,number m-3
252,http://vocab.nerc.ac.uk/collection/P06/current/MAKG/,Million atoms per kilogram,1.0E6 atoms kg-1
253,http://vocab.nerc.ac.uk/collection/P06/current/UMAM/,Milliamps,mA
254,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/,Square metres,m2
255,http://vocab.nerc.ac.uk/collection/P06/current/UECA/,Siemens per metre,S m-1
256,http://vocab.nerc.ac.uk/collection/P06/current/PASS/,Pascal seconds,Pa s
257,http://vocab.nerc.ac.uk/collection/P06/current/UCNL/,Number per nanolitre,number nl-1
258,http://vocab.nerc.ac.uk/collection/P06/current/NPKM/,Number per square kilometre,number km-2
259,http://vocab.nerc.ac.uk/collection/P06/current/MPYR/,Metres per year,m year-1
260,http://vocab.nerc.ac.uk/collection/P06/current/JCMH/,Joules per square centimetre per day,J cm-2 day-1
261,http://vocab.nerc.ac.uk/collection/P06/current/NGPG/,Nanograms per gram,ng g-1
262,http://vocab.nerc.ac.uk/collection/P06/current/PIXY/,Pixels,pixels
263,http://vocab.nerc.ac.uk/collection/P06/current/NAMP/,Nanoamperes,nA
264,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,Milligrams,mg
265,http://vocab.nerc.ac.uk/collection/P06/current/UMTN/,Square metres per squared Hertz,m2 5 1.0E-1 Hz
266,http://vocab.nerc.ac.uk/collection/P06/current/OHMM/,Ohm metres,O m
267,http://vocab.nerc.ac.uk/collection/P06/current/UCUM/,Cubic microns per millilitre,um3 ml-1
268,http://vocab.nerc.ac.uk/collection/P06/current/UVP5/,Volts multiplied by 100000,V multiplied by 100000
269,http://vocab.nerc.ac.uk/collection/P06/current/GPRG/,Grams per gram,g g-1
270,http://vocab.nerc.ac.uk/collection/P06/current/UCST/,Centistokes,cSt
271,http://vocab.nerc.ac.uk/collection/P06/current/M2S2/,per square metre per second,m-2 s-1
272,http://vocab.nerc.ac.uk/collection/P06/current/MCUG/,Micrograms per cubic metre,ug m-3
273,http://vocab.nerc.ac.uk/collection/P06/current/DGPS/,Degrees per second,degree s-1
274,http://vocab.nerc.ac.uk/collection/P06/current/SCPM/,Seconds per metre,s m-1
275,http://vocab.nerc.ac.uk/collection/P06/current/UGMC/,Grams per cubic metre,g m-3
276,http://vocab.nerc.ac.uk/collection/P06/current/NTPM/,Newtons per metre,N m-1
277,http://vocab.nerc.ac.uk/collection/P06/current/MMPH/,Millimetres per hour,mm hour-1
278,http://vocab.nerc.ac.uk/collection/P06/current/MGCS/,Milligrams per cubic metre per second,mg m-3 s-1
